net,length_um
mem\[11\]\[5\],12.4
mem\[3\]\[1\],12.38
w_data[1],12.38
mem\[15\]\[3\],12.34
mem\[11\]\[2\],12.3
_0154_,12.2
mem\[10\]\[6\],12.165
_0235_,12.16
_0370_,12.08
_0407_,12.08
_0395_,11.96
r_ptr_g_sync2\[3\],11.92
_0267_,11.9
mem\[3\]\[3\],11.88
net89,11.88
mem\[5\]\[1\],11.78
w_data[2],11.78
w_data[5],11.78
mem\[11\]\[6\],11.755
_0358_,11.64
_0363_,11.58
net158,11.56
mem\[9\]\[4\],11.54
_0161_,11.52
_0263_,11.5
net55,11.48
_0071_,11.425
_0246_,11.36
mem\[3\]\[0\],11.34
net114,11.32
mem\[11\]\[3\],11.24
_0405_,11.2
mem\[10\]\[0\],11.085
mem\[7\]\[3\],11.08
net148,11.06
_0177_,11
_0241_,11
_0297_,10.86
_0224_,10.78
_0402_,10.74
net135,10.72
_0195_,10.7
_0353_,10.7
net79,10.68
net118,10.68
mem\[14\]\[3\],10.665
mem\[2\]\[5\],10.625
_0186_,10.62
net116,10.56
mem\[7\]\[1\],10.54
net96,10.52
_0079_,10.485
mem\[7\]\[0\],10.42
_0197_,10.34
_0191_,10.28
net50,10.22
mem\[14\]\[6\],10.205
mem\[7\]\[5\],10.16
mem\[11\]\[4\],10.12
_0175_,10.08
net130,10
_0315_,9.94
_0372_,9.94
_0070_,9.865
net49,9.86
net161,9.86
net84,9.82
r_ptr_g\[1\],9.8
net59,9.76
net97,9.76
net115,9.72
r_ptr_g\[3\],9.7
_0262_,9.68
_0415_,9.68
mem\[10\]\[1\],9.61
_0128_,9.52
_0299_,9.4
_0087_,9.385
mem\[7\]\[4\],9.38
_0258_,9.18
net103,9.18
net139,9.18
net46,9.14
_0400_,9.12
w_ptr_g_sync1\[0\],9.06
mem\[14\]\[7\],9.045
mem\[11\]\[1\],9.02
net140,9.02
r_data[4],8.96
r_data[7],8.96
_0089_,8.945
mem\[14\]\[4\],8.945
_0429_,8.94
net109,8.94
net155,8.94
mem\[7\]\[6\],8.92
r_ptr_g_sync2\[4\],8.9
net68,8.9
net92,8.8
net132,8.76
_0225_,8.74
net43,8.74
net75,8.74
rd,8.72
w_data[6],8.72
_0031_,8.685
net121,8.64
_0314_,8.6
_0280_,8.58
_0290_,8.56
_0331_,8.56
_0411_,8.56
_0451_,8.56
mem\[14\]\[2\],8.485
_0248_,8.48
r_ptr_b\[3\],8.48
net127,8.48
net70,8.44
net141,8.44
_0307_,8.4
_0266_,8.36
net51,8.34
net88,8.34
_0036_,8.305
_0233_,8.28
_0240_,8.28
_0301_,8.16
_0354_,8.14
_0413_,8.14
mem\[3\]\[2\],8.12
mem\[14\]\[5\],8.025
mem\[2\]\[6\],8.025
_0270_,8.02
_0386_,8.02
net72,8.02
_0046_,7.985
_0385_,7.98
net104,7.98
_0316_,7.94
net93,7.92
net112,7.92
net152,7.92
net154,7.92
_0037_,7.905
net37,7.88
net63,7.88
net81,7.88
net90,7.88
net144,7.88
_0100_,7.82
net44,7.82
net100,7.82
_0133_,7.8
_0421_,7.8
_0179_,7.74
_0375_,7.68
net124,7.64
_0383_,7.6
_0121_,7.54
_0365_,7.52
_0310_,7.48
_0328_,7.48
net62,7.46
net54,7.42
net64,7.42
_0095_,7.385
w_data[3],7.37
net56,7.36
net73,7.34
_0157_,7.32
_0025_,7.285
_0423_,7.24
net83,7.24
r_ptr_g_sync2\[1\],7.2
_0010_,7.185
_0388_,7.18
_0000_,7.145
_0030_,7.145
r_data[2],7.13
_0094_,7.105
_0382_,7.1
_0406_,7.1
net143,7.1
_0340_,7.06
_0438_,7.06
wr,7.01
net106,7
net145,7
net40,6.98
net122,6.96
_0412_,6.94
_0119_,6.925
net33,6.925
net147,6.9
net134,6.88
net165,6.88
_0104_,6.825
_0319_,6.76
_0344_,6.76
_0366_,6.76
w_ptr_g_sync1\[4\],6.76
_0323_,6.74
_0024_,6.725
_0169_,6.72
_0325_,6.72
_0332_,6.72
_0441_,6.72
_0424_,6.64
_0439_,6.64
_0450_,6.64
_0291_,6.6
_0347_,6.6
_0430_,6.6
_0082_,6.565
net38,6.54
_0098_,6.525
mem\[5\]\[7\],6.52
_0431_,6.5
mem\[11\]\[0\],6.48
net71,6.44
net151,6.38
_0038_,6.365
_0146_,6.365
w_data[7],6.31
_0247_,6.3
_0435_,6.3
w_ptr_g_sync2\[0\],6.3
net58,6.3
_0284_,6.28
_0293_,6.28
_0072_,6.265
_0308_,6.26
_0449_,6.26
_0093_,6.225
_0342_,6.2
_0294_,6.18
_0408_,6.18
w_ptr_g_sync1\[3\],6.145
_0367_,6.14
_0391_,6.14
_0422_,6.14
_0446_,6.14
_0120_,6.105
_0139_,6.105
net41,6.08
net133,6.08
_0279_,6.06
net36,5.98
net120,5.98
net138,5.98
net125,5.96
_0150_,5.945
_0138_,5.885
r_data[0],5.87
net111,5.86
net137,5.86
_0399_,5.84
_0125_,5.8
_0261_,5.8
_0117_,5.765
_0069_,5.74
_0368_,5.74
_0417_,5.74
net24,5.74
_0153_,5.725
_0273_,5.72
_0196_,5.68
_0269_,5.68
_0313_,5.68
_0329_,5.68
r_data[6],5.65
w_data[4],5.63
_0207_,5.62
_0256_,5.62
_0002_,5.58
_0118_,5.58
_0174_,5.58
net35,5.52
net39,5.52
net47,5.52
net48,5.52
net53,5.52
net57,5.52
net61,5.52
net66,5.52
net67,5.52
net69,5.52
net74,5.52
net76,5.52
net77,5.52
net78,5.52
net80,5.52
net82,5.52
net85,5.52
net86,5.52
net87,5.52
net91,5.52
net94,5.52
net102,5.52
net105,5.52
net107,5.52
net108,5.52
net113,5.52
net117,5.52
net119,5.52
net129,5.52
net131,5.52
net146,5.52
net150,5.52
net156,5.52
net160,5.52
net162,5.52
net163,5.52
_0047_,5.505
_0178_,5.5
_0334_,5.4
_0061_,5.385
_0115_,5.38
_0255_,5.38
_0371_,5.38
_0088_,5.36
_0306_,5.34
_0336_,5.34
_0027_,5.315
_0032_,5.305
_0040_,5.305
_0110_,5.305
_0124_,5.305
_0142_,5.305
_0447_,5.28
_0253_,5.26
_0283_,5.26
_0295_,5.26
