net,length_um
mem\[10\]\[5\],13.885
r_clk,13.86
_0208_,13.66
net85,13.66
_0093_,13.585
mem\[1\]\[2\],13.58
_0389_,13.56
_0428_,13.56
net87,13.56
_0111_,13.535
_0446_,13.46
net154,13.42
mem\[4\]\[0\],13.38
_0405_,13.34
_0354_,13.32
mem\[11\]\[7\],13.3
mem\[5\]\[1\],13.3
mem\[5\]\[6\],13.24
_0226_,13.2
_0388_,13.2
_0272_,13.16
mem\[9\]\[1\],13.16
mem\[2\]\[0\],13.145
mem\[13\]\[5\],13.12
mem\[14\]\[1\],13.11
_0154_,12.96
_0052_,12.925
mem\[15\]\[6\],12.9
mem\[5\]\[4\],12.88
mem\[9\]\[0\],12.8
_0219_,12.66
_0293_,12.66
_0046_,12.625
_0269_,12.56
_0032_,12.505
mem\[6\]\[5\],12.505
mem\[1\]\[1\],12.38
_0403_,12.32
_0011_,12.22
_0068_,12.205
mem\[0\]\[3\],12.14
mem\[10\]\[3\],12.125
net150,12.12
_0352_,12.04
_0084_,12
mem\[11\]\[4\],12
_0026_,11.985
_0038_,11.965
_0197_,11.96
_0284_,11.96
_0409_,11.96
_0265_,11.9
_0051_,11.825
_0123_,11.825
_0237_,11.82
_0306_,11.8
empty,11.8
mem\[14\]\[7\],11.785
net26,11.78
_0186_,11.76
_0234_,11.74
_0325_,11.74
_0022_,11.705
_0136_,11.7
mem\[15\]\[1\],11.68
_0221_,11.66
net89,11.6
w_rst_n,11.56
mem\[14\]\[4\],11.545
_0270_,11.46
_0138_,11.385
_0323_,11.38
_0061_,11.365
mem\[10\]\[1\],11.345
_0356_,11.32
_0431_,11.32
mem\[7\]\[3\],11.32
net160,11.32
mem\[15\]\[4\],11.3
_0373_,11.28
r_data[4],11.26
_0139_,11.245
_0318_,11.16
_0432_,11.16
net136,11.14
mem\[6\]\[0\],11.11
w_data[2],11.1
w_data[5],11.1
_0141_,11.06
_0160_,11.04
_0147_,11.025
mem\[2\]\[4\],11.025
mem\[15\]\[0\],11
mem\[7\]\[0\],10.98
net156,10.98
_0124_,10.935
_0120_,10.905
_0173_,10.88
_0350_,10.86
mem\[11\]\[0\],10.8
net137,10.78
_0276_,10.74
_0024_,10.7
_0330_,10.7
_0398_,10.7
mem\[14\]\[3\],10.685
_0042_,10.64
net103,10.64
mem\[1\]\[6\],10.62
net100,10.56
_0086_,10.525
_0266_,10.46
net124,10.44
net129,10.42
mem\[3\]\[6\],10.4
_0166_,10.38
_0351_,10.36
_0194_,10.34
_0291_,10.32
_0381_,10.3
_0193_,10.28
_0229_,10.28
_0077_,10.18
_0231_,10.18
mem\[15\]\[7\],10.16
_0317_,10.14
_0028_,10.125
_0002_,10.045
_0339_,10.04
_0404_,9.94
_0290_,9.9
_0018_,9.865
_0059_,9.865
_0140_,9.865
_0343_,9.86
_0430_,9.86
net32,9.86
net69,9.86
_0125_,9.78
_0103_,9.775
net51,9.76
_0079_,9.745
net138,9.72
mem\[7\]\[1\],9.7
net94,9.64
mem\[3\]\[7\],9.62
_0361_,9.52
_0169_,9.48
_0382_,9.48
_0422_,9.48
_0353_,9.44
_0379_,9.44
_0370_,9.42
_0121_,9.405
_0177_,9.4
_0334_,9.4
net112,9.4
_0004_,9.385
_0109_,9.365
_0215_,9.36
_0303_,9.36
net55,9.36
net142,9.36
net163,9.3
mem\[10\]\[7\],9.245
w_data[6],9.18
mem\[5\]\[2\],9.16
mem\[11\]\[3\],9.14
_0095_,9.065
_0148_,9.065
_0331_,9.06
_0012_,9.02
_0380_,9.02
mem\[15\]\[3\],9.02
r_data[7],8.96
_0342_,8.94
_0445_,8.94
net58,8.94
net98,8.94
net162,8.94
net121,8.9
net159,8.9
net161,8.9
w_data[3],8.87
_0348_,8.86
r_ptr_g_sync2\[2\],8.86
net61,8.84
_0054_,8.825
_0223_,8.8
net79,8.8
_0030_,8.725
_0060_,8.725
_0070_,8.725
_0142_,8.725
_0091_,8.605
_0116_,8.6
_0305_,8.6
_0320_,8.6
_0375_,8.6
_0152_,8.535
_0310_,8.52
_0100_,8.485
_0102_,8.485
_0359_,8.48
net52,8.48
_0308_,8.44
_0367_,8.44
_0447_,8.44
net111,8.44
net147,8.44
rd,8.38
w_data[0],8.38
net46,8.34
mem\[11\]\[6\],8.32
_0073_,8.3
net102,8.28
_0053_,8.265
_0089_,8.265
_0114_,8.26
_0131_,8.26
w_data[1],8.26
mem\[11\]\[2\],8.24
_0129_,8.22
_0064_,8.205
_0144_,8.145
_0313_,8.14
_0314_,8.14
_0369_,8.14
_0450_,8.14
_0309_,8.12
_0298_,8.1
_0143_,8.065
_0014_,8.04
_0023_,8.025
_0031_,8.025
mem\[14\]\[5\],8.025
_0180_,7.98
_0230_,7.98
_0336_,7.98
_0366_,7.94
net72,7.92
net132,7.92
_0126_,7.9
_0019_,7.88
_0161_,7.86
net158,7.86
_0411_,7.82
_0001_,7.805
_0034_,7.805
_0134_,7.76
wr,7.71
_0256_,7.68
_0417_,7.68
_0181_,7.64
w_ptr_g_sync2\[0\],7.64
_0196_,7.6
_0279_,7.6
_0416_,7.56
net107,7.56
_0065_,7.54
r_ptr_g_sync2\[1\],7.52
net49,7.52
_0003_,7.485
_0387_,7.48
_0427_,7.46
net59,7.46
net66,7.46
net91,7.46
net122,7.46
net143,7.46
_0092_,7.42
net81,7.42
_0000_,7.385
_0249_,7.38
net57,7.34
_0104_,7.305
_0072_,7.245
_0285_,7.22
_0391_,7.22
_0423_,7.22
_0394_,7.18
_0117_,7.145
_0278_,7.12
_0097_,7.105
_0277_,7.1
_0297_,7.1
net53,7.1
_0115_,7.06
net95,7
net63,6.98
net133,6.98
_0233_,6.96
net151,6.96
_0025_,6.935
_0057_,6.925
_0119_,6.925
_0040_,6.905
net44,6.9
_0133_,6.88
_0041_,6.785
r_ptr_g_sync2\[4\],6.78
_0275_,6.76
_0328_,6.76
_0406_,6.76
_0283_,6.72
_0300_,6.72
_0035_,6.685
_0081_,6.685
_0122_,6.685
_0150_,6.685
_0437_,6.66
_0027_,6.645
_0033_,6.645
_0225_,6.64
_0289_,6.64
_0340_,6.64
_0376_,6.64
net84,6.64
net110,6.64
_0400_,6.6
net152,6.6
_0149_,6.54
net97,6.54
net104,6.54
net155,6.54
net118,6.5
_0036_,6.425
_0090_,6.425
w_ptr_g_sync1\[2\],6.38
_0016_,6.365
_0067_,6.365
_0118_,6.365
_0137_,6.3
_0245_,6.3
mem\[11\]\[5\],6.28
_0385_,6.26
_0414_,6.26
_0425_,6.26
_0047_,6.24
_0058_,6.225
_0082_,6.225
_0105_,6.225
_0153_,6.225
r_data[1],6.21
r_data[6],6.21
_0296_,6.18
_0377_,6.18
_0408_,6.18
_0441_,6.18
net115,6.18
net127,6.18
net157,6.18
_0007_,6.16
_0145_,6.16
_0191_,6.14
_0440_,6.14
net86,6.14
net65,6.08
net116,6.08
_0080_,6.04
_0099_,6.04
net41,6.04
net67,6.04
r_ptr_g_sync1\[1\],5.98
net56,5.98
net74,5.98
net76,5.98
net82,5.98
_0017_,5.885
_0069_,5.765
_0094_,5.765
r_data[0],5.75
_0190_,5.74
_0434_,5.74
net96,5.72
net146,5.72
_0008_,5.7
_0390_,5.68
_0402_,5.68
_0412_,5.68
net140,5.68
_0050_,5.62
net34,5.56
r_data[5],5.53
net38,5.52
net39,5.52
net40,5.52
net42,5.52
net48,5.52
net50,5.52
net60,5.52
net62,5.52
net75,5.52
net77,5.52
net78,5.52
net99,5.52
net101,5.52
net106,5.52
net108,5.52
net117,5.52
net125,5.52
net126,5.52
net128,5.52
net131,5.52
net134,5.52
net135,5.52
net139,5.52
net144,5.52
net153,5.52
net165,5.52
_0242_,5.5
net114,5.5
_0281_,5.38
net70,5.38
_0087_,5.345
_0130_,5.34
_0273_,5.34
_0326_,5.34
_0365_,5.34
_0435_,5.34
_0444_,5.34
_0044_,5.305
_0315_,5.28
_0363_,5.28
_0006_,5.265
_0295_,5.26
_0438_,5.26
net73,5.26
net148,5.26
_0372_,5.22
_0399_,5.22
_0045_,5.215
net83,5.16
net90,5.16
net45,5.12
net93,5.12
_0127_,5.04
net141,5.02
w_data[4],4.95
_0015_,4.92
_0286_,4.92
_0344_,4.92
_0436_,4.92
_0043_,4.885
_0056_,4.885
_0332_,4.88
full,4.85
r_data[2],4.85
_0213_,4.82
_0346_,4.82
_0360_,4.82
_0396_,4.82
_0055_,4.805
_0420_,4.8
_0253_,4.76
_0071_,4.7
net71,4.7
net64,4.66
_0066_,4.625
_0246_,4.6
_0020_,4.585
_0157_,4.56
_0170_,4.46
_0378_,4.46
r_ptr_g_sync1\[0\],4.46
_0075_,4.425
_0274_,4.42
w_ptr_g_sync2\[1\],4.42
w_ptr_g_sync2\[3\],4.42
_0013_,4.385
_0407_,4.36
_0392_,4.34
_0048_,4.325
w_data[7],4.27
_0258_,4.24
net123,4.24
_0088_,4.165
_0429_,4.14
r_ptr_g_sync1\[3\],4.14
_0074_,4.125
_0112_,4.12
_0287_,4
_0338_,4
_0419_,4
r_ptr_g_sync1\[2\],4
_0085_,3.965
_0106_,3.925
_0349_,3.9
_0329_,3.88
_0341_,3.88
_0439_,3.88
_0449_,3.88
net120,3.88
_0151_,3.865
_0146_,3.815
net92,3.78
net145,3.78
net149,3.78
net164,3.76
_0179_,3.68
_0128_,3.56
_0383_,3.56
_0037_,3.505
_0039_,3.505
_0101_,3.505
mem\[2\]\[5\],3.425
_0187_,3.42
_0413_,3.42
_0424_,3.42
_0005_,3.34
net37,3.32
net43,3.32
net80,3.32
net109,3.32
net119,3.32
net130,3.32
net33,3.3
_0076_,3.245
w_ptr_g_sync1\[1\],3.2
_0009_,3.08
_0263_,3.08
_0098_,3.005
_0096_,2.98
_0386_,2.96
_0451_,2.96
_0021_,2.945
_0201_,2.86
_0239_,2.76
net88,2.76
w_ptr_g_sync1\[3\],2.74
net31,2.74
_0010_,2.62
net36,2.62
_0327_,2.52
_0357_,2.5
net105,2.5
_0220_,2.4
_0255_,2.4
net113,2.4
_0063_,2.325
_0421_,2.3
net35,2.3
w_ptr_g_sync2\[2\],2.18
_0029_,2.085
_0288_,2.06
_0316_,2.04
_0368_,2.04
_0243_,1.94
net68,1.94
_0108_,1.865
_0227_,1.84
_0267_,1.84
w_ptr_g_sync1\[0\],1.84
_0113_,1.82
_0132_,1.82
_0217_,1.48
net54,1.48
_0110_,1.405
_0135_,1.36
_0426_,1.02
r_ptr_g_sync1\[4\],0.92
w_ptr_g_sync2\[4\],0.92
r_ptr_b\[3\],0.8
