net,length_um
mem\[10\]\[7\],11.87
empty,11.8
_0445_,11.74
_0309_,11.72
_0053_,11.705
w_ptr_g\[3\],11.66
mem\[15\]\[0\],11.64
_0447_,11.62
mem\[10\]\[1\],11.59
mem\[3\]\[7\],11.58
w_rst_n,11.56
mem\[12\]\[6\],11.54
mem\[9\]\[1\],11.54
mem\[8\]\[0\],11.5
_0052_,11.485
_0048_,11.445
mem\[3\]\[1\],11.44
mem\[10\]\[4\],11.345
_0169_,11.32
mem\[3\]\[2\],11.32
mem\[2\]\[1\],11.31
_0056_,11.285
r_data[4],11.26
_0020_,11.245
_0109_,11.245
_0033_,11.225
mem\[11\]\[7\],11.22
_0082_,11.205
_0196_,11.2
_0320_,11.2
_0339_,11.16
_0349_,11.16
_0160_,11.12
_0322_,11.12
w_data[2],11.1
w_data[5],11.1
mem\[4\]\[5\],11.04
_0071_,11.035
mem\[7\]\[0\],10.84
_0114_,10.82
_0359_,10.82
_0440_,10.74
mem\[8\]\[2\],10.72
_0434_,10.7
_0010_,10.68
mem\[12\]\[2\],10.62
mem\[8\]\[7\],10.58
_0062_,10.525
_0375_,10.5
mem\[0\]\[7\],10.44
_0026_,10.405
_0045_,10.365
_0139_,10.325
_0313_,10.32
mem\[8\]\[1\],10.32
_0066_,10.3
_0168_,10.24
_0187_,10.24
r_ptr_g\[3\],10.24
_0170_,10.16
_0087_,10.105
_0450_,10.1
_0050_,9.945
mem\[2\]\[7\],9.945
_0131_,9.94
mem\[2\]\[3\],9.93
_0040_,9.905
_0046_,9.865
_0366_,9.76
_0429_,9.68
mem\[11\]\[2\],9.54
_0073_,9.525
_0223_,9.52
_0231_,9.52
_0290_,9.52
_0301_,9.52
mem\[14\]\[5\],9.51
_0405_,9.42
_0179_,9.36
_0274_,9.36
_0283_,9.36
mem\[14\]\[3\],9.285
mem\[7\]\[3\],9.28
_0343_,9.24
_0263_,9.22
rd,9.18
w_data[6],9.18
_0078_,9.175
mem\[5\]\[7\],9.12
_0124_,9.08
mem\[9\]\[6\],9.06
_0407_,9.04
_0083_,9.02
_0192_,9.02
_0382_,9.02
_0015_,9
mem\[11\]\[3\],9
_0337_,8.98
net61,8.98
r_data[7],8.96
_0019_,8.945
_0327_,8.94
_0415_,8.94
_0270_,8.86
_0002_,8.825
mem\[9\]\[3\],8.78
_0068_,8.76
_0097_,8.725
mem\[7\]\[6\],8.7
mem\[3\]\[5\],8.675
_0085_,8.625
mem\[5\]\[5\],8.6
_0009_,8.56
_0285_,8.56
_0079_,8.485
w_data[0],8.38
_0090_,8.365
_0041_,8.34
_0145_,8.32
mem\[13\]\[1\],8.32
mem\[5\]\[6\],8.32
_0084_,8.3
net92,8.3
_0001_,8.265
_0023_,8.265
_0100_,8.265
w_data[1],8.26
_0034_,8.245
mem\[3\]\[3\],8.24
_0069_,8.165
_0077_,8.16
_0111_,8.155
_0093_,8.145
_0258_,8.14
_0245_,8.1
_0278_,8.1
_0362_,8.1
_0380_,8.1
_0132_,8.06
w_ptr_g_sync2\[1\],8.06
